State,Jan23 Force,Jan24 Force,Feb23 Force,Feb24 Force,Jan23 Unemp,Jan24 Unemp,Feb23 Unemp,Feb24 Unemp,Jan23 Unemp Perc,Jan24 Unemp Perc,Feb23 Unemp Perc,Feb24 Unemp Perc,State
Valdosta,"61,340","61,995","61,848","62,514","2,324","2,119","2,344","2,104",3.8,3.4,3.8,3.4,Georgia
Warner Robins,"86,325","87,140","86,855","87,287","2,978","2,542","2,878","2,531",3.4,2.9,3.3,2.9,Georgia
Hawaii,"675,571","671,775","677,364","676,483","20,348","20,845","19,922","20,801",3,3.1,2.9,3.1,
Kahului-Wailuku-Lahaina,"88,188","84,660","87,781","84,774","2,614","5,033","2,583","4,719",3,5.9,2.9,5.6,Hawaii
Urban Honolulu,"455,950","454,702","458,558","459,134","13,567","12,224","13,261","12,346",3,2.7,2.9,2.7,Hawaii
Idaho,"946,585","962,632","951,871","973,269","33,262","38,366","33,785","39,280",3.5,4,3.5,4,
Boise City,"417,398","423,603","420,402","428,601","12,983","15,835","13,445","16,068",3.1,3.7,3.2,3.7,Idaho
Coeur d'Alene,"85,280","88,861","85,364","89,543","4,105","4,509","3,861","4,615",4.8,5.1,4.5,5.2,Idaho
Idaho Falls,"80,637","82,222","81,171","82,910","2,452","2,817","2,551","2,934",3,3.4,3.1,3.5,Idaho
Lewiston,"31,879","32,606","32,207","32,780","1,105","1,282","1,144","1,298",3.5,3.9,3.6,4,Idaho
Pocatello,"44,240","44,972","44,598","45,469","1,425","1,750","1,465","1,760",3.2,3.9,3.3,3.9,Idaho
Twin Falls,"55,564","55,132","55,622","55,502","2,193","2,219","2,021","2,202",3.9,4,3.6,4,
